Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T3-90DIAS_CP3"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;19,17918;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;2,71330;MPa
Máximo Carga : ExtensãoemMáximo Carga;25,52495;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,13434;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,03343;0,00000;0,00473
0,05000;0,01457;0,08730;0,00008;0,01235
0,10000;0,04462;0,06788;0,00023;0,00960
0,15000;0,07302;0,04189;0,00038;0,00593
0,20000;0,09932;0,03249;0,00052;0,00460
0,25000;0,12477;0,10765;0,00066;0,01523
0,30000;0,14995;0,06224;0,00079;0,00881
0,35000;0,17496;0,05504;0,00092;0,00779
0,40000;0,19998;0,07007;0,00105;0,00991
0,45000;0,22495;0,08323;0,00118;0,01177
0,50000;0,24996;0,09450;0,00132;0,01337
0,55000;0,27498;0,09888;0,00145;0,01399
0,60000;0,29995;0,08573;0,00158;0,01213
0,65000;0,32496;0,12832;0,00171;0,01815
0,70000;0,34998;0,11736;0,00184;0,01660
0,75000;0,37500;0,14335;0,00197;0,02028
0,80000;0,40002;0,13208;0,00211;0,01869
0,85000;0,42498;0,17122;0,00224;0,02422
0,90000;0,45000;0,15525;0,00237;0,02196
0,95000;0,47496;0,17874;0,00250;0,02529
1,00000;0,49998;0,18125;0,00263;0,02564
1,05000;0,52500;0,16715;0,00276;0,02365
1,10000;0,55002;0,17279;0,00289;0,02444
1,15000;0,57498;0,18907;0,00303;0,02675
1,20000;0,60005;0,18626;0,00316;0,02635
1,25000;0,62502;0,21601;0,00329;0,03056
1,30000;0,64998;0,20348;0,00342;0,02879
1,35000;0,67500;0,19816;0,00355;0,02803
1,40000;0,70002;0,22665;0,00368;0,03206
1,45000;0,72504;0,25108;0,00382;0,03552
1,50000;0,75000;0,22571;0,00395;0,03193
1,55000;0,77502;0,24732;0,00408;0,03499
1,60000;0,79998;0,23605;0,00421;0,03339
1,65000;0,82500;0,24826;0,00434;0,03512
1,70000;0,84996;0,28365;0,00447;0,04013
1,75000;0,87498;0,27300;0,00461;0,03862
1,80000;0,89995;0,28615;0,00474;0,04048
1,85000;0,92496;0,27144;0,00487;0,03840
1,90000;0,95004;0,28365;0,00500;0,04013
1,95000;0,97500;0,29304;0,00513;0,04146
2,00000;1,00007;0,33877;0,00526;0,04793
2,05000;1,02504;0,30338;0,00539;0,04292
2,10000;1,05000;0,32687;0,00553;0,04624
2,15000;1,07502;0,31497;0,00566;0,04456
2,20000;1,09993;0,33595;0,00579;0,04753
2,25000;1,12500;0,32937;0,00592;0,04660
2,30000;1,14996;0,34534;0,00605;0,04886
2,35000;1,17498;0,35223;0,00618;0,04983
2,40000;1,20000;0,36037;0,00632;0,05098
2,45000;1,22496;0,37196;0,00645;0,05262
2,50000;1,24998;0,38042;0,00658;0,05382
2,55000;1,27495;0,36413;0,00671;0,05151
2,60000;1,29996;0,38950;0,00684;0,05510
2,65000;1,32493;0,40296;0,00697;0,05701
2,70000;1,35000;0,41612;0,00711;0,05887
