Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-TE-90DIAS_CP3"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;29,80796;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;4,21696;MPa
Máximo Carga : ExtensãoemMáximo Carga;7,02503;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,03697;mm/mm
Entradas de Texto : Comentário;"ROMPEU DENTRO DA GARRA"

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,02286;0,00000;0,00323
0,05000;0,01452;0,11650;0,00008;0,01648
0,10000;0,04468;0,03445;0,00024;0,00487
0,15000;0,07296;0,07234;0,00038;0,01023
0,20000;0,09927;0,09646;0,00052;0,01365
0,25000;0,12477;0,12903;0,00066;0,01825
0,30000;0,14989;0,18164;0,00079;0,02570
0,35000;0,17496;0,18007;0,00092;0,02547
0,40000;0,19998;0,20074;0,00105;0,02840
0,45000;0,22500;0,20481;0,00118;0,02897
0,50000;0,24996;0,25272;0,00132;0,03575
0,55000;0,27493;0,29062;0,00145;0,04111
0,60000;0,30000;0,32663;0,00158;0,04621
0,65000;0,32496;0,33665;0,00171;0,04763
0,70000;0,35004;0,35200;0,00184;0,04980
0,75000;0,37505;0,39208;0,00197;0,05547
0,80000;0,40007;0,40273;0,00211;0,05697
0,85000;0,42498;0,44939;0,00224;0,06358
0,90000;0,45000;0,48227;0,00237;0,06823
0,95000;0,47496;0,51014;0,00250;0,07217
1,00000;0,49998;0,56714;0,00263;0,08023
1,05000;0,52500;0,56964;0,00276;0,08059
1,10000;0,54996;0,62633;0,00289;0,08861
1,15000;0,57504;0,66390;0,00303;0,09392
1,20000;0,60000;0,67330;0,00316;0,09525
1,25000;0,62502;0,71808;0,00329;0,10159
1,30000;0,64998;0,74564;0,00342;0,10549
1,35000;0,67500;0,78510;0,00355;0,11107
1,40000;0,70002;0,83552;0,00368;0,11820
1,45000;0,72504;0,86589;0,00382;0,12250
1,50000;0,75000;0,90034;0,00395;0,12737
1,55000;0,77496;0,92007;0,00408;0,13016
1,60000;0,80004;1,00275;0,00421;0,14186
1,65000;0,82500;1,07195;0,00434;0,15165
1,70000;0,85002;1,07540;0,00447;0,15214
1,75000;0,87498;1,13114;0,00461;0,16002
1,80000;0,90000;1,16089;0,00474;0,16423
1,85000;0,92496;1,21538;0,00487;0,17194
1,90000;0,94993;1,29492;0,00500;0,18319
1,95000;0,97500;1,31340;0,00513;0,18581
2,00000;0,99991;1,36351;0,00526;0,19290
2,05000;1,02498;1,38324;0,00539;0,19569
2,10000;1,04995;1,46873;0,00553;0,20778
2,15000;1,07502;1,52792;0,00566;0,21616
2,20000;1,09998;1,56393;0,00579;0,22125
2,25000;1,12500;1,62437;0,00592;0,22980
2,30000;1,15002;1,68732;0,00605;0,23871
2,35000;1,17498;1,71675;0,00618;0,24287
2,40000;1,20005;1,77657;0,00632;0,25133
2,45000;1,22502;1,86206;0,00645;0,26343
2,50000;1,25003;1,89400;0,00658;0,26795
2,55000;1,27495;1,96979;0,00671;0,27867
2,60000;1,29996;2,02522;0,00684;0,28651
2,65000;1,32498;2,10821;0,00697;0,29825
2,70000;1,35000;2,15956;0,00711;0,30552
2,75000;1,37502;2,25163;0,00724;0,31854
2,80000;1,39998;2,28452;0,00737;0,32319
2,85000;1,42500;2,37064;0,00750;0,33538
2,90000;1,44996;2,44986;0,00763;0,34659
2,95000;1,47503;2,48556;0,00776;0,35164
3,00000;1,50000;2,56104;0,00789;0,36231
3,05000;1,52502;2,64371;0,00803;0,37401
3,10000;1,54998;2,72106;0,00816;0,38495
3,15000;1,57500;2,80436;0,00829;0,39674
3,20000;1,59996;2,88140;0,00842;0,40763
3,25000;1,62493;2,95249;0,00855;0,41769
3,30000;1,65000;3,05113;0,00868;0,43165
3,35000;1,67496;3,10688;0,00882;0,43953
3,40000;1,69998;3,17796;0,00895;0,44959
3,45000;1,72500;3,26690;0,00908;0,46217
3,50000;1,74996;3,34613;0,00921;0,47338
3,55000;1,77498;3,44697;0,00934;0,48765
3,60000;1,79995;3,56973;0,00947;0,50501
3,65000;1,82496;3,64113;0,00961;0,51511
3,70000;1,84993;3,72036;0,00974;0,52632
3,75000;1,87495;3,81368;0,00987;0,53953
3,80000;1,89996;3,91546;0,01000;0,55392
3,85000;1,92498;3,99688;0,01013;0,56544
3,90000;1,95000;4,08081;0,01026;0,57732
3,95000;1,97502;4,20733;0,01039;0,59521
4,00000;2,00003;4,27654;0,01053;0,60501
4,05000;2,02500;4,33885;0,01066;0,61382
4,10000;2,05007;4,45003;0,01079;0,62955
4,15000;2,07503;4,56402;0,01092;0,64568
4,20000;2,10000;4,66078;0,01105;0,65937
4,25000;2,12502;4,76193;0,01118;0,67368
4,30000;2,14998;4,86434;0,01132;0,68816
4,35000;2,17500;4,94388;0,01145;0,69942
4,40000;2,19996;5,07729;0,01158;0,71829
4,45000;2,22498;5,13366;0,01171;0,72626
4,50000;2,24995;5,26894;0,01184;0,74540
4,55000;2,27502;5,33471;0,01197;0,75471
4,60000;2,29998;5,47406;0,01211;0,77442
4,65000;2,32500;5,53356;0,01224;0,78284
4,70000;2,35002;5,65852;0,01237;0,80052
4,75000;2,37498;5,74745;0,01250;0,81310
4,80000;2,40000;5,85424;0,01263;0,82821
4,85000;2,42496;5,94663;0,01276;0,84128
4,90000;2,45003;6,03337;0,01289;0,85355
4,95000;2,47494;6,14736;0,01303;0,86967
5,00000;2,50002;6,23160;0,01316;0,88159
5,05000;2,52498;6,28828;0,01329;0,88961
5,10000;2,55000;6,42169;0,01342;0,90848
5,15000;2,57496;6,55478;0,01355;0,92731
5,20000;2,59998;6,63589;0,01368;0,93879
5,25000;2,62500;6,72233;0,01382;0,95101
5,30000;2,64996;6,85824;0,01395;0,97024
5,35000;2,67498;6,97286;0,01408;0,98646
5,40000;2,69994;7,06618;0,01421;0,99966
5,45000;2,72502;7,12129;0,01434;1,00746
5,50000;2,74998;7,27004;0,01447;1,02850
5,55000;2,77500;7,37307;0,01461;1,04308
5,60000;2,80002;7,49740;0,01474;1,06067
5,65000;2,82498;7,59323;0,01487;1,07422
5,70000;2,85000;7,63770;0,01500;1,08051
5,75000;2,87502;7,75012;0,01513;1,09642
5,80000;2,90003;7,87163;0,01526;1,11361
5,85000;2,92500;7,93176;0,01539;1,12211
5,90000;2,95002;8,05451;0,01553;1,13948
5,95000;2,97503;8,14470;0,01566;1,15224
6,00000;3,00000;8,25838;0,01579;1,16832
6,05000;3,02502;8,32947;0,01592;1,17838
6,10000;3,04998;8,40745;0,01605;1,18941
6,15000;3,07500;8,47008;0,01618;1,19827
6,20000;3,09996;8,58156;0,01632;1,21404
6,25000;3,12503;8,68366;0,01645;1,22849
6,30000;3,15000;8,75975;0,01658;1,23925
6,35000;3,17502;8,92510;0,01671;1,26264
6,40000;3,19998;9,01717;0,01684;1,27567
6,45000;3,22500;9,11989;0,01697;1,29020
6,50000;3,25002;9,21854;0,01711;1,30416
6,55000;3,27498;9,31937;0,01724;1,31842
6,60000;3,30000;9,46468;0,01737;1,33898
6,65000;3,32496;9,55957;0,01750;1,35240
