Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T3-30DIAS_CP3"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;28,83857;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;4,07982;MPa
Máximo Carga : ExtensãoemMáximo Carga;14,72501;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,07750;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,01206;0,00000;0,00171
0,05000;0,01511;0,08847;0,00008;0,01252
0,10000;0,04516;0,06060;0,00024;0,00857
0,15000;0,07323;0,06185;0,00039;0,00875
0,20000;0,09937;0,05214;0,00052;0,00738
0,25000;0,12482;0,09286;0,00066;0,01314
0,30000;0,14995;0,10037;0,00079;0,01420
0,35000;0,17496;0,12950;0,00092;0,01832
0,40000;0,19998;0,12605;0,00105;0,01783
0,45000;0,22500;0,13670;0,00118;0,01934
0,50000;0,25002;0,17115;0,00132;0,02421
0,55000;0,27498;0,18524;0,00145;0,02621
0,60000;0,30000;0,20434;0,00158;0,02891
0,65000;0,32502;0,23472;0,00171;0,03321
0,70000;0,35004;0,25413;0,00184;0,03595
0,75000;0,37500;0,26791;0,00197;0,03790
0,80000;0,39996;0,25038;0,00211;0,03542
0,85000;0,42498;0,30236;0,00224;0,04278
0,90000;0,45000;0,31833;0,00237;0,04503
0,95000;0,47502;0,31144;0,00250;0,04406
1,00000;0,50004;0,29046;0,00263;0,04109
1,05000;0,52505;0,34934;0,00276;0,04942
1,10000;0,55002;0,38190;0,00289;0,05403
1,15000;0,57504;0,38003;0,00303;0,05376
1,20000;0,60000;0,38190;0,00316;0,05403
1,25000;0,62502;0,42168;0,00329;0,05965
1,30000;0,65004;0,44892;0,00342;0,06351
1,35000;0,67500;0,43890;0,00355;0,06209
1,40000;0,70007;0,48212;0,00368;0,06821
1,45000;0,72504;0,49057;0,00382;0,06940
1,50000;0,75005;0,49589;0,00395;0,07015
1,55000;0,77502;0,48900;0,00408;0,06918
1,60000;0,80004;0,53848;0,00421;0,07618
1,65000;0,82500;0,56730;0,00434;0,08026
1,70000;0,85002;0,60206;0,00447;0,08517
1,75000;0,87509;0,61364;0,00461;0,08681
1,80000;0,90005;0,63744;0,00474;0,09018
1,85000;0,92507;0,63431;0,00487;0,08974
1,90000;0,95004;0,63525;0,00500;0,08987
1,95000;0,97505;0,65467;0,00513;0,09262
2,00000;0,99996;0,70196;0,00526;0,09931
2,05000;1,02498;0,69726;0,00539;0,09864
2,10000;1,05000;0,74580;0,00553;0,10551
2,15000;1,07496;0,74674;0,00566;0,10564
2,20000;1,10004;0,73953;0,00579;0,10462
2,25000;1,12500;0,77492;0,00592;0,10963
2,30000;1,15007;0,79089;0,00605;0,11189
2,35000;1,17503;0,82252;0,00618;0,11636
2,40000;1,20005;0,84288;0,00632;0,11924
2,45000;1,22502;0,82910;0,00645;0,11729
2,50000;1,25003;0,86730;0,00658;0,12270
2,55000;1,27505;0,88578;0,00671;0,12531
2,60000;1,30002;0,90927;0,00684;0,12864
2,65000;1,32503;0,93557;0,00697;0,13236
2,70000;1,35000;0,93651;0,00711;0,13249
2,75000;1,37502;0,96971;0,00724;0,13719
2,80000;1,39998;0,98818;0,00737;0,13980
2,85000;1,42500;1,00416;0,00750;0,14206
2,90000;1,45002;1,03140;0,00763;0,14591
2,95000;1,47498;1,05113;0,00776;0,14870
3,00000;1,50005;1,06741;0,00790;0,15101
3,05000;1,52507;1,08652;0,00803;0,15371
3,10000;1,55009;1,12347;0,00816;0,15894
3,15000;1,57505;1,13255;0,00829;0,16022
3,20000;1,60002;1,13506;0,00842;0,16058
3,25000;1,62498;1,19049;0,00855;0,16842
3,30000;1,65000;1,20677;0,00868;0,17072
3,35000;1,67502;1,20990;0,00882;0,17117
3,40000;1,70003;1,25907;0,00895;0,17812
3,45000;1,72511;1,25876;0,00908;0,17808
3,50000;1,75007;1,28381;0,00921;0,18162
3,55000;1,77509;1,28537;0,00934;0,18184
3,60000;1,80000;1,29665;0,00947;0,18344
3,65000;1,82502;1,34080;0,00961;0,18968
3,70000;1,84998;1,39028;0,00974;0,19668
3,75000;1,87500;1,40813;0,00987;0,19921
3,80000;1,90002;1,40657;0,01000;0,19899
3,85000;1,92498;1,42317;0,01013;0,20134
3,90000;1,95005;1,47546;0,01026;0,20874
3,95000;1,97496;1,50678;0,01039;0,21317
4,00000;1,99998;1,51586;0,01053;0,21445
4,05000;2,02500;1,55125;0,01066;0,21946
4,10000;2,05002;1,56096;0,01079;0,22083
4,15000;2,07498;1,57442;0,01092;0,22274
4,20000;2,10000;1,63455;0,01105;0,23124
4,25000;2,12502;1,64050;0,01118;0,23208
4,30000;2,15003;1,66023;0,01132;0,23487
4,35000;2,17505;1,68967;0,01145;0,23904
4,40000;2,20002;1,67526;0,01158;0,23700
4,45000;2,22503;1,69248;0,01171;0,23944
4,50000;2,25000;1,76326;0,01184;0,24945
4,55000;2,27502;1,75512;0,01197;0,24830
