Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-TE-30DIAS_CP2"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;29,51406;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;4,17539;MPa
Máximo Carga : ExtensãoemMáximo Carga;3,99996;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,02105;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,05372;0,00000;0,00760
0,05000;0,01559;0,10414;0,00008;0,01473
0,10000;0,04543;0,07689;0,00024;0,01088
0,15000;0,07329;0,11384;0,00039;0,01611
0,20000;0,09943;0,17366;0,00052;0,02457
0,25000;0,12477;0,19652;0,00066;0,02780
0,30000;0,14989;0,26949;0,00079;0,03812
0,35000;0,17491;0,32366;0,00092;0,04579
0,40000;0,19993;0,36062;0,00105;0,05102
0,45000;0,22495;0,40759;0,00118;0,05766
0,50000;0,24991;0,48181;0,00132;0,06816
0,55000;0,27493;0,49903;0,00145;0,07060
0,60000;0,29989;0,59173;0,00158;0,08371
0,65000;0,32496;0,62430;0,00171;0,08832
0,70000;0,34998;0,68348;0,00184;0,09669
0,75000;0,37500;0,74048;0,00197;0,10476
0,80000;0,40002;0,79121;0,00211;0,11193
0,85000;0,42498;0,88735;0,00224;0,12553
0,90000;0,45000;0,92556;0,00237;0,13094
0,95000;0,47496;0,97535;0,00250;0,13798
1,00000;0,50004;1,04393;0,00263;0,14769
1,05000;0,52495;1,07775;0,00276;0,15247
1,10000;0,54996;1,15636;0,00289;0,16359
1,15000;0,57493;1,23277;0,00303;0,17440
1,20000;0,59995;1,28475;0,00316;0,18176
1,25000;0,62496;1,34425;0,00329;0,19017
1,30000;0,64993;1,44196;0,00342;0,20400
1,35000;0,67495;1,48831;0,00355;0,21055
1,40000;0,69996;1,56566;0,00368;0,22150
1,45000;0,72498;1,65241;0,00382;0,23377
1,50000;0,74989;1,71848;0,00395;0,24312
1,55000;0,77496;1,80711;0,00408;0,25565
1,60000;0,79993;1,88477;0,00421;0,26664
1,65000;0,82495;1,94615;0,00434;0,27532
1,70000;0,84996;2,04542;0,00447;0,28937
1,75000;0,87498;2,13593;0,00461;0,30217
1,80000;0,90000;2,22612;0,00474;0,31493
1,85000;0,92496;2,31192;0,00487;0,32707
1,90000;0,94998;2,43155;0,00500;0,34399
1,95000;0,97495;2,49794;0,00513;0,35339
2,00000;0,99996;2,60129;0,00526;0,36801
2,05000;1,02498;2,68928;0,00539;0,38046
2,10000;1,04995;2,77478;0,00553;0,39255
2,15000;1,07496;2,88125;0,00566;0,40761
