Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T2-60DIAS_CP1"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;27,69528;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;3,91808;MPa
Máximo Carga : ExtensãoemMáximo Carga;12,04997;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,06342;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,03843;0,00000;0,00544
0,05000;0,01468;0,06724;0,00008;0,00951
0,10000;0,04473;0,01306;0,00024;0,00185
0,15000;0,07302;0,04594;0,00038;0,00650
0,20000;0,09932;0,04407;0,00052;0,00623
0,25000;0,12477;0,04250;0,00066;0,00601
0,30000;0,14989;0,06630;0,00079;0,00938
0,35000;0,17496;0,08290;0,00092;0,01173
0,40000;0,19993;0,08697;0,00105;0,01230
0,45000;0,22500;0,11108;0,00118;0,01571
0,50000;0,24996;0,11985;0,00132;0,01696
0,55000;0,27498;0,10701;0,00145;0,01514
0,60000;0,30000;0,10920;0,00158;0,01545
0,65000;0,32502;0,14741;0,00171;0,02085
0,70000;0,35004;0,14177;0,00184;0,02006
0,75000;0,37495;0,14240;0,00197;0,02015
0,80000;0,39996;0,16996;0,00211;0,02404
0,85000;0,42498;0,17904;0,00224;0,02533
0,90000;0,45000;0,18405;0,00237;0,02604
0,95000;0,47496;0,19564;0,00250;0,02768
1,00000;0,50004;0,21756;0,00263;0,03078
1,05000;0,52505;0,19845;0,00276;0,02808
1,10000;0,55002;0,22163;0,00289;0,03135
1,15000;0,57504;0,22476;0,00303;0,03180
1,20000;0,60000;0,23008;0,00316;0,03255
1,25000;0,62502;0,24887;0,00329;0,03521
1,30000;0,64998;0,26923;0,00342;0,03809
1,35000;0,67505;0,25013;0,00355;0,03539
1,40000;0,70002;0,28958;0,00368;0,04097
1,45000;0,72498;0,30117;0,00382;0,04261
1,50000;0,75000;0,29835;0,00395;0,04221
1,55000;0,77496;0,29992;0,00408;0,04243
1,60000;0,79998;0,31714;0,00421;0,04487
1,65000;0,82495;0,33092;0,00434;0,04682
1,70000;0,84996;0,35973;0,00447;0,05089
1,75000;0,87493;0,34595;0,00460;0,04894
1,80000;0,90000;0,36819;0,00474;0,05209
1,85000;0,92502;0,39105;0,00487;0,05532
1,90000;0,94998;0,37884;0,00500;0,05359
1,95000;0,97505;0,41297;0,00513;0,05842
2,00000;0,99996;0,41203;0,00526;0,05829
2,05000;1,02498;0,41673;0,00539;0,05896
2,10000;1,04995;0,43333;0,00553;0,06130
2,15000;1,07496;0,46464;0,00566;0,06573
2,20000;1,09993;0,44930;0,00579;0,06356
2,25000;1,12500;0,48531;0,00592;0,06866
2,30000;1,15002;0,48093;0,00605;0,06804
2,35000;1,17498;0,51694;0,00618;0,07313
2,40000;1,20005;0,51350;0,00632;0,07264
2,45000;1,22502;0,51976;0,00645;0,07353
2,50000;1,24998;0,54481;0,00658;0,07707
2,55000;1,27500;0,55483;0,00671;0,07849
2,60000;1,30002;0,58145;0,00684;0,08226
2,65000;1,32498;0,58615;0,00697;0,08292
2,70000;1,35000;0,58709;0,00711;0,08306
2,75000;1,37496;0,62717;0,00724;0,08873
2,80000;1,39998;0,62435;0,00737;0,08833
2,85000;1,42505;0,62154;0,00750;0,08793
2,90000;1,45002;0,64001;0,00763;0,09054
2,95000;1,47509;0,65097;0,00776;0,09209
3,00000;1,50005;0,67916;0,00790;0,09608
3,05000;1,52502;0,67008;0,00803;0,09480
3,10000;1,54998;0,69732;0,00816;0,09865
3,15000;1,57500;0,70327;0,00829;0,09949
3,20000;1,59996;0,71486;0,00842;0,10113
3,25000;1,62493;0,74398;0,00855;0,10525
3,30000;1,64995;0,74022;0,00868;0,10472
3,35000;1,67491;0,75463;0,00882;0,10676
