Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T3-60DIAS_CP1"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;30,06821;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;4,25378;MPa
Máximo Carga : ExtensãoemMáximo Carga;22,02507;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,11592;mm/mm
Entradas de Texto : Comentário;"ROMPEU NA GARRA"

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;-0,01062;0,00000;-0,00150
0,05000;0,01495;0,10462;0,00008;0,01480
0,10000;0,04511;0,02351;0,00024;0,00333
0,15000;0,07318;0,07518;0,00039;0,01064
0,20000;0,09937;0,05326;0,00052;0,00753
0,25000;0,12482;0,04606;0,00066;0,00652
0,30000;0,14989;0,08426;0,00079;0,01192
0,35000;0,17502;0,13249;0,00092;0,01874
0,40000;0,19998;0,13030;0,00105;0,01843
0,45000;0,22505;0,15786;0,00118;0,02233
0,50000;0,25002;0,15692;0,00132;0,02220
0,55000;0,27504;0,16725;0,00145;0,02366
0,60000;0,30000;0,19763;0,00158;0,02796
0,65000;0,32496;0,19575;0,00171;0,02769
0,70000;0,35004;0,21642;0,00184;0,03062
0,75000;0,37500;0,20483;0,00197;0,02898
0,80000;0,40007;0,26966;0,00211;0,03815
0,85000;0,42504;0,22769;0,00224;0,03221
0,90000;0,45011;0,27811;0,00237;0,03934
0,95000;0,47507;0,27968;0,00250;0,03957
1,00000;0,50009;0,30097;0,00263;0,04258
1,05000;0,52505;0,32602;0,00276;0,04612
1,10000;0,55007;0,31005;0,00290;0,04386
1,15000;0,57504;0,33041;0,00303;0,04674
1,20000;0,60000;0,35922;0,00316;0,05082
1,25000;0,62507;0,35828;0,00329;0,05069
1,30000;0,65004;0,39711;0,00342;0,05618
1,35000;0,67505;0,42905;0,00355;0,06070
1,40000;0,70002;0,42843;0,00368;0,06061
1,45000;0,72504;0,41935;0,00382;0,05933
1,50000;0,75005;0,44440;0,00395;0,06287
1,55000;0,77502;0,47070;0,00408;0,06659
1,60000;0,80004;0,50484;0,00421;0,07142
1,65000;0,82505;0,49294;0,00434;0,06974
1,70000;0,85012;0,52269;0,00447;0,07395
1,75000;0,87509;0,53741;0,00461;0,07603
1,80000;0,90011;0,55494;0,00474;0,07851
1,85000;0,92502;0,57342;0,00487;0,08112
1,90000;0,94998;0,60505;0,00500;0,08560
1,95000;0,97500;0,57655;0,00513;0,08157
2,00000;1,00002;0,61977;0,00526;0,08768
2,05000;1,02504;0,65547;0,00539;0,09273
2,10000;1,05000;0,67426;0,00553;0,09539
2,15000;1,07507;0,69900;0,00566;0,09889
2,20000;1,10004;0,66173;0,00579;0,09362
2,25000;1,12505;0,69587;0,00592;0,09845
2,30000;1,15007;0,72280;0,00605;0,10226
2,35000;1,17503;0,72155;0,00618;0,10208
2,40000;1,20005;0,74660;0,00632;0,10562
2,45000;1,22502;0,76789;0,00645;0,10863
2,50000;1,25003;0,81518;0,00658;0,11532
2,55000;1,27500;0,79733;0,00671;0,11280
2,60000;1,30007;0,82583;0,00684;0,11683
2,65000;1,32503;0,85746;0,00697;0,12131
2,70000;1,35005;0,85808;0,00711;0,12139
2,75000;1,37502;0,86028;0,00724;0,12170
2,80000;1,40003;0,88815;0,00737;0,12565
2,85000;1,42505;0,88878;0,00750;0,12574
2,90000;1,45002;0,90725;0,00763;0,12835
2,95000;1,47509;0,92479;0,00776;0,13083
3,00000;1,50005;0,94389;0,00790;0,13353
3,05000;1,52512;0,95767;0,00803;0,13548
