Tratamento,Tempo_dias,Imagem,n_fraturas,densidade_fraturas_mm2,severidade_percent,porosidade_percent,n_poros,rugosidade_um
ST,30,30d_1.png,174,179.62,20.63,29.81,374,104.11
ST,30,30d_2png.png,33,34.07,19.42,26.62,146,45.56
ST,30,30d_3.png,157,162.07,18.04,44.48,337,126.07
ST,30,30d_4.png,205,211.62,16.55,40.42,396,140.47
ST,30,30d_5.png,130,134.2,20.65,39.78,202,132.11
ST,30,30d_6.png,59,60.91,20.51,21.58,94,80.11
ST,30,30d_7.png,220,227.11,7.8,25.44,362,111.57
ST,30,30d_8.png,177,182.72,20.73,31.22,316,110.99
ST,30,30d_9.png,82,84.65,15.12,13.8,103,74.83
ST,60,60d_1.png,114,117.68,10.1,19.8,206,92.34
ST,60,60d_2.png,151,155.88,10.78,25.0,277,111.51
ST,60,60d_3.png,150,154.85,11.78,30.01,323,101.01
ST,60,60d_4.png,95,98.07,9.73,21.55,194,104.55
ST,60,60d_5.png,184,189.94,11.2,34.85,329,128.42
ST,60,60d_6.png,191,197.17,17.44,45.72,243,93.09
ST,60,60d_7.png,118,121.81,10.82,8.21,230,99.79
ST,60,60d_8.png,62,64.0,12.36,22.25,116,98.36
ST,60,60d_9.png,75,77.42,14.4,26.52,120,91.4
ST,90,90d_1.png,78,80.52,0.99,16.8,194,113.35
ST,90,90d_2.png,294,303.5,8.44,29.23,628,132.85
ST,90,90d_3.png,281,290.08,15.94,21.9,429,96.3
ST,90,90d_4.png,204,210.59,5.55,15.3,513,110.44
ST,90,90d_5.png,238,245.69,8.36,31.43,514,100.48
ST,90,90d_6.png,250,258.08,16.77,29.15,354,92.1
ST,90,90d_7.png,175,180.65,3.69,2.45,253,89.54
ST,90,90d_8.png,372,384.02,13.93,28.87,715,117.22
ST,90,90d_9.png,246,253.95,15.69,37.62,412,104.07
ST,120,120d_1.png,109,112.52,2.98,16.84,185,84.35
ST,120,120d_2.png,39,40.26,5.41,18.96,68,114.85
ST,120,120d_3.png,42,43.36,18.15,16.47,59,98.2
ST,120,120d_4.png,123,126.97,5.99,29.98,447,109.14
ST,120,120d_5.png,160,165.17,4.85,18.45,268,100.39
ST,120,120d_6.png,134,138.33,5.14,22.26,327,97.31
ST,120,120d_7.png,235,242.59,4.94,32.02,489,123.62
ST,120,120d_8.png,310,320.02,14.14,44.63,357,130.13
ST,120,120d_9.png,209,215.75,15.52,51.75,211,123.74
ST,150,150d_1.png,66,68.13,2.46,18.99,126,124.93
ST,150,150d_2.png,54,55.74,2.7,21.69,195,114.21
ST,150,150d_3.png,80,82.58,6.15,30.24,305,117.43
ST,150,150d_4.png,65,67.1,3.06,18.9,128,115.64
ST,150,150d_5.png,252,260.14,9.1,32.6,519,117.3
ST,150,150d_6.png,228,235.37,14.9,47.54,357,98.54
ST,150,150d_7.png,145,149.68,12.75,21.88,221,102.19
ST,150,150d_8.png,236,243.62,14.19,27.06,475,114.98
ST,150,150d_9.png,234,241.56,13.28,32.84,445,109.1
ST,180,180d_1.png,163,168.27,8.36,18.21,245,82.37
ST,180,180d_2.png,152,156.91,11.82,26.33,326,112.55
ST,180,180d_3.png,182,187.88,11.66,33.16,402,102.0
ST,180,180d_4.png,119,122.84,9.31,19.46,185,104.71
ST,180,180d_5.png,184,189.94,9.04,20.73,314,110.85
ST,180,180d_6.png,176,181.69,9.7,26.56,366,107.87
ST,180,180d_7.png,117,120.78,13.37,11.15,230,104.55
ST,180,180d_8.png,177,182.72,15.34,13.52,330,94.01
ST,180,180d_9.png,182,187.88,16.28,31.5,358,98.78
DC,30,30d_1.png,111,114.59,14.48,36.27,242,80.56
DC,30,30d_2.png,220,227.11,13.12,41.39,433,85.32
DC,30,30d_3.png,178,183.75,14.25,54.95,232,84.37
DC,30,30d_4.png,43,44.39,4.67,19.62,90,85.58
DC,30,30d_5.png,48,49.55,5.61,18.98,147,74.42
DC,30,30d_6.png,103,106.33,9.66,24.61,268,73.05
DC,30,30d_7.png,162,167.23,14.18,13.25,291,72.61
DC,30,30d_8.png,233,240.53,13.06,19.77,484,97.22
DC,30,30d_9.png,257,265.3,15.53,50.67,317,81.64
DC,60,60d_1.png,138,142.46,5.98,17.44,235,113.6
DC,60,60d_2.png,212,218.85,11.68,43.12,289,69.79
DC,60,60d_3.png,200,206.46,12.67,49.11,169,74.1
