treatment,days,specimen,stress,strain,source
T0,30.0,1.0,4.75237,0.04329,SPSS_Dados_completos
T0,30.0,2.0,4.07982,0.03487,SPSS_Dados_completos
T0,30.0,3.0,4.25378,0.03158,SPSS_Dados_completos
T0,60.0,1.0,4.69086,0.04026,SPSS_Dados_completos
T0,60.0,2.0,1.9881,0.03618,SPSS_Dados_completos
T0,60.0,3.0,2.21351,0.03395,SPSS_Dados_completos
T0,90.0,1.0,3.2178,0.0296,SPSS_Dados_completos
T0,90.0,2.0,2.7133,0.06368,SPSS_Dados_completos
T0,90.0,3.0,1.42906,0.03132,SPSS_Dados_completos
T0,120.0,1.0,1.92782,0.02053,SPSS_Dados_completos
T0,120.0,2.0,1.94936,0.02671,SPSS_Dados_completos
T0,120.0,3.0,0.96523,0.02,SPSS_Dados_completos
T0,150.0,1.0,2.70068,0.04658,SPSS_Dados_completos
T0,150.0,2.0,1.67388,0.02408,SPSS_Dados_completos
T0,150.0,3.0,0.80083,0.02118,SPSS_Dados_completos
T0,180.0,1.0,1.66613,0.02461,SPSS_Dados_completos
T0,180.0,2.0,0.32283,0.02039,SPSS_Dados_completos
T0,180.0,3.0,0.32283,0.03684,SPSS_Dados_completos
T1,30.0,1.0,8.27544,0.04421,SPSS_Dados_completos
T1,30.0,2.0,8.81234,0.01737,SPSS_Dados_completos
T1,30.0,3.0,9.88077,0.03434,SPSS_Dados_completos
T1,60.0,1.0,5.74658,0.05184,SPSS_Dados_completos
T1,60.0,2.0,4.63529,0.02684,SPSS_Dados_completos
T1,60.0,3.0,5.26906,0.05974,SPSS_Dados_completos
T1,90.0,1.0,4.57445,0.06158,SPSS_Dados_completos
T1,90.0,2.0,4.47376,0.0325,SPSS_Dados_completos
T1,90.0,3.0,8.01209,0.035,SPSS_Dados_completos
T1,120.0,1.0,2.34062,0.05316,SPSS_Dados_completos
T1,120.0,2.0,2.35288,0.12961,SPSS_Dados_completos
T1,120.0,3.0,3.3848,0.09934,SPSS_Dados_completos
T1,150.0,1.0,2.96065,0.0071,SPSS_Dados_completos
T1,150.0,2.0,3.44498,0.03197,SPSS_Dados_completos
T1,150.0,3.0,1.23145,0.14053,SPSS_Dados_completos
T1,180.0,1.0,1.20957,0.04921,SPSS_Dados_completos
T1,180.0,2.0,1.03587,0.04197,SPSS_Dados_completos
T1,180.0,3.0,3.76626,0.05461,SPSS_Dados_completos
T2,30.0,1.0,5.33338,0.05158,SPSS_Dados_completos
T2,30.0,2.0,5.66314,0.06487,SPSS_Dados_completos
T2,30.0,3.0,3.62618,0.05987,SPSS_Dados_completos
T2,60.0,1.0,3.91808,0.06342,SPSS_Dados_completos
T2,60.0,2.0,10.15504,0.06987,SPSS_Dados_completos
T2,60.0,3.0,2.70453,0.07092,SPSS_Dados_completos
T2,90.0,1.0,6.60996,0.03158,SPSS_Dados_completos
T2,90.0,2.0,5.52493,0.02908,SPSS_Dados_completos
T2,90.0,3.0,5.35264,0.07368,SPSS_Dados_completos
T2,120.0,1.0,6.23248,0.05513,SPSS_Dados_completos
T2,120.0,2.0,1.30764,0.02974,SPSS_Dados_completos
T2,120.0,3.0,1.72345,0.04605,SPSS_Dados_completos
T2,150.0,1.0,1.90575,0.08961,SPSS_Dados_completos
T2,150.0,2.0,0.64346,0.05132,SPSS_Dados_completos
T2,150.0,3.0,4.20653,0.11316,SPSS_Dados_completos
T2,180.0,1.0,0.88005,0.06434,SPSS_Dados_completos
T2,180.0,2.0,0.41388,0.03145,SPSS_Dados_completos
T2,180.0,3.0,0.65828,0.04329,SPSS_Dados_completos
T3,30.0,1.0,10.03467,0.10395,SPSS_Dados_completos
T3,30.0,2.0,13.07462,0.0775,SPSS_Dados_completos
T3,30.0,3.0,13.69159,0.11592,SPSS_Dados_completos
T3,60.0,1.0,13.80283,0.07803,SPSS_Dados_completos
T3,60.0,2.0,9.10989,0.14447,SPSS_Dados_completos
T3,60.0,3.0,10.74786,0.13368,SPSS_Dados_completos
T3,90.0,1.0,7.35011,0.11066,SPSS_Dados_completos
T3,90.0,2.0,6.70023,0.13434,SPSS_Dados_completos
T3,90.0,3.0,5.66826,0.06355,SPSS_Dados_completos
T3,120.0,1.0,5.54736,0.12645,SPSS_Dados_completos
T3,120.0,2.0,9.02492,0.08408,SPSS_Dados_completos
T3,120.0,3.0,7.84057,0.05566,SPSS_Dados_completos
T3,150.0,1.0,6.55354,0.10474,SPSS_Dados_completos
T3,150.0,2.0,4.25198,0.05039,SPSS_Dados_completos
T3,150.0,3.0,4.98031,0.03158,SPSS_Dados_completos
T3,180.0,1.0,1.63744,0.05658,SPSS_Dados_completos
T3,180.0,2.0,3.92404,0.03605,SPSS_Dados_completos
T3,180.0,3.0,5.28646,0.03605,SPSS_Dados_completos
