Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T3-60DIAS_CP3"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;14,05306;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;1,98810;MPa
Máximo Carga : ExtensãoemMáximo Carga;27,44993;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,14447;mm/mm
Entradas de Texto : Comentário;"FIBRA MUITO ''ENROLADA''"

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,00213;0,00000;0,00030
0,05000;0,01468;0,10422;0,00008;0,01474
0,10000;0,04468;0,03814;0,00024;0,00540
0,15000;0,07296;0,01967;0,00038;0,00278
0,20000;0,09927;0,05662;0,00052;0,00801
0,25000;0,12477;0,05004;0,00066;0,00708
0,30000;0,14989;0,03783;0,00079;0,00535
0,35000;0,17491;0,06069;0,00092;0,00859
0,40000;0,19993;0,08167;0,00105;0,01155
0,45000;0,22495;0,07729;0,00118;0,01093
0,50000;0,24996;0,09545;0,00132;0,01350
0,55000;0,27493;0,09890;0,00145;0,01399
0,60000;0,29995;0,10328;0,00158;0,01461
0,65000;0,32491;0,07729;0,00171;0,01093
0,70000;0,34993;0,11487;0,00184;0,01625
0,75000;0,37495;0,10641;0,00197;0,01505
0,80000;0,39991;0,10861;0,00210;0,01536
0,85000;0,42498;0,11894;0,00224;0,01683
0,90000;0,44995;0,14086;0,00237;0,01993
0,95000;0,47502;0,14117;0,00250;0,01997
1,00000;0,49998;0,12740;0,00263;0,01802
1,05000;0,52505;0,16122;0,00276;0,02281
1,10000;0,55002;0,14055;0,00289;0,01988
1,15000;0,57498;0,15339;0,00303;0,02170
1,20000;0,60000;0,16090;0,00316;0,02276
1,25000;0,62491;0,15809;0,00329;0,02236
1,30000;0,64993;0,18001;0,00342;0,02547
1,35000;0,67489;0,19880;0,00355;0,02812
1,40000;0,69996;0,21727;0,00368;0,03074
1,45000;0,72493;0,20036;0,00382;0,02835
1,50000;0,74995;0,20381;0,00395;0,02883
1,55000;0,77496;0,20757;0,00408;0,02936
