Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T1-90DIAS_CP3"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;56,63416;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;8,01209;MPa
Máximo Carga : ExtensãoemMáximo Carga;6,64998;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,03500;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,03775;0,00000;0,00534
0,05000;0,01559;0,11542;0,00008;0,01633
0,10000;0,04537;0,11197;0,00024;0,01584
0,15000;0,07329;0,13421;0,00039;0,01899
0,20000;0,09937;0,20060;0,00052;0,02838
0,25000;0,12471;0,23724;0,00066;0,03356
0,30000;0,14989;0,30050;0,00079;0,04251
0,35000;0,17486;0,33682;0,00092;0,04765
0,40000;0,19993;0,42106;0,00105;0,05957
0,45000;0,22495;0,45238;0,00118;0,06400
0,50000;0,24996;0,50875;0,00132;0,07197
0,55000;0,27498;0,59080;0,00145;0,08358
0,60000;0,29995;0,62650;0,00158;0,08863
0,65000;0,32496;0,66408;0,00171;0,09395
0,70000;0,34993;0,73798;0,00184;0,10440
0,75000;0,37500;0,76617;0,00197;0,10839
0,80000;0,39996;0,81251;0,00211;0,11495
0,85000;0,42504;0,89613;0,00224;0,12678
0,90000;0,45000;0,94342;0,00237;0,13347
0,95000;0,47502;0,99446;0,00250;0,14069
1,00000;0,49998;1,05302;0,00263;0,14897
1,05000;0,52495;1,07651;0,00276;0,15230
1,10000;0,54996;1,19833;0,00289;0,16953
1,15000;0,57493;1,22965;0,00303;0,17396
1,20000;0,59995;1,30199;0,00316;0,18419
1,25000;0,62496;1,32172;0,00329;0,18698
1,30000;0,64998;1,39468;0,00342;0,19731
1,35000;0,67495;1,46514;0,00355;0,20728
1,40000;0,69996;1,51932;0,00368;0,21494
1,45000;0,72498;1,59604;0,00382;0,22579
1,50000;0,74995;1,65054;0,00395;0,23350
1,55000;0,77496;1,70847;0,00408;0,24170
1,60000;0,79993;1,77423;0,00421;0,25100
1,65000;0,82495;1,80273;0,00434;0,25503
1,70000;0,84991;1,89605;0,00447;0,26824
1,75000;0,87498;1,96401;0,00461;0,27785
1,80000;0,89995;2,03416;0,00474;0,28777
1,85000;0,92491;2,09084;0,00487;0,29579
1,90000;0,94993;2,16161;0,00500;0,30581
1,95000;0,97489;2,19731;0,00513;0,31086
2,00000;0,99996;2,31162;0,00526;0,32703
2,05000;1,02487;2,35765;0,00539;0,33354
2,10000;1,04995;2,44033;0,00553;0,34524
2,15000;1,07491;2,51141;0,00566;0,35529
2,20000;1,09993;2,56935;0,00579;0,36349
2,25000;1,12495;2,70620;0,00592;0,38285
2,30000;1,14991;2,75004;0,00605;0,38905
2,35000;1,17498;2,82927;0,00618;0,40026
2,40000;1,19995;2,89723;0,00632;0,40987
2,45000;1,22502;2,98523;0,00645;0,42232
2,50000;1,24998;3,03721;0,00658;0,42968
2,55000;1,27500;3,13993;0,00671;0,44421
2,60000;1,30002;3,22762;0,00684;0,45661
2,65000;1,32498;3,28712;0,00697;0,46503
2,70000;1,35000;3,36854;0,00711;0,47655
2,75000;1,37496;3,49036;0,00724;0,49378
2,80000;1,39993;3,57554;0,00737;0,50584
2,85000;1,42495;3,64255;0,00750;0,51532
2,90000;1,44991;3,71615;0,00763;0,52573
2,95000;1,47493;3,80070;0,00776;0,53769
3,00000;1,49995;3,89621;0,00789;0,55120
3,05000;1,52496;3,99361;0,00803;0,56498
3,10000;1,54998;4,06282;0,00816;0,57477
3,15000;1,57500;4,15833;0,00829;0,58828
3,20000;1,59991;4,25666;0,00842;0,60219
3,25000;1,62493;4,35374;0,00855;0,61593
3,30000;1,64989;4,44863;0,00868;0,62935
3,35000;1,67491;4,54916;0,00882;0,64357
3,40000;1,69993;4,63903;0,00895;0,65629
3,45000;1,72495;4,75177;0,00908;0,67224
3,50000;1,74996;4,81628;0,00921;0,68136
3,55000;1,77493;4,96472;0,00934;0,70236
3,60000;1,80000;5,04928;0,00947;0,71433
3,65000;1,82491;5,13727;0,00960;0,72678
3,70000;1,84998;5,22308;0,00974;0,73891
3,75000;1,87495;5,33738;0,00987;0,75509
3,80000;1,89996;5,43071;0,01000;0,76829
3,85000;1,92493;5,53875;0,01013;0,78357
3,90000;1,94995;5,64491;0,01026;0,79859
3,95000;1,97496;5,75577;0,01039;0,81427
4,00000;1,99993;5,87446;0,01053;0,83107
4,05000;2,02500;5,98156;0,01066;0,84622
4,10000;2,04996;6,09242;0,01079;0,86190
4,15000;2,07498;6,18950;0,01092;0,87563
4,20000;2,10000;6,34420;0,01105;0,89752
4,25000;2,12502;6,41153;0,01118;0,90705
4,30000;2,14998;6,54681;0,01132;0,92618
4,35000;2,17495;6,63951;0,01145;0,93930
4,40000;2,19996;6,78168;0,01158;0,95941
4,45000;2,22493;6,91008;0,01171;0,97758
4,50000;2,24995;7,01624;0,01184;0,99260
4,55000;2,27496;7,08952;0,01197;1,00296
4,60000;2,29998;7,22794;0,01211;1,02254
4,65000;2,32494;7,37043;0,01224;1,04270
4,70000;2,34996;7,46469;0,01237;1,05604
4,75000;2,37493;7,57618;0,01250;1,07181
4,80000;2,39994;7,68766;0,01263;1,08758
4,85000;2,42496;7,81386;0,01276;1,10544
4,90000;2,44993;7,95228;0,01289;1,12502
4,95000;2,47494;8,06940;0,01303;1,14159
5,00000;2,49991;8,18778;0,01316;1,15833
5,05000;2,52493;8,28048;0,01329;1,17145
5,10000;2,54994;8,41138;0,01342;1,18997
5,15000;2,57491;8,54823;0,01355;1,20933
5,20000;2,59998;8,65846;0,01368;1,22492
5,25000;2,62494;8,82068;0,01382;1,24787
5,30000;2,64996;8,89427;0,01395;1,25828
5,35000;2,67493;9,03144;0,01408;1,27769
5,40000;2,69994;9,18645;0,01421;1,29962
5,45000;2,72491;9,31892;0,01434;1,31836
5,50000;2,74993;9,46109;0,01447;1,33847
5,55000;2,77494;9,56506;0,01460;1,35318
5,60000;2,79996;9,69377;0,01474;1,37139
5,65000;2,82498;9,82843;0,01487;1,39044
5,70000;2,85000;9,96027;0,01500;1,40909
5,75000;2,87502;10,09838;0,01513;1,42863
5,80000;2,89998;10,20203;0,01526;1,44329
5,85000;2,92500;10,34202;0,01539;1,46310
5,90000;2,94996;10,52271;0,01553;1,48866
5,95000;2,97498;10,65048;0,01566;1,50673
6,00000;2,99994;10,78264;0,01579;1,52543
6,05000;3,02496;10,93890;0,01592;1,54754
6,10000;3,04998;11,11960;0,01605;1,57310
6,15000;3,07494;11,24580;0,01618;1,59096
6,20000;3,09996;11,36480;0,01632;1,60779
6,25000;3,12493;11,51293;0,01645;1,62875
6,30000;3,14994;11,69550;0,01658;1,65457
6,35000;3,17496;11,83799;0,01671;1,67473
6,40000;3,19993;11,99238;0,01684;1,69657
6,45000;3,22494;12,13393;0,01697;1,71660
6,50000;3,24996;12,27579;0,01711;1,73667
6,55000;3,27498;12,44145;0,01724;1,76011
6,60000;3,29994;12,58738;0,01737;1,78075
6,65000;3,32496;12,76025;0,01750;1,80521
6,70000;3,34993;12,89146;0,01763;1,82377
6,75000;3,37494;13,05713;0,01776;1,84721
