Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T2-30DIAS_CP2"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;40,03039;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;5,66314;MPa
Máximo Carga : ExtensãoemMáximo Carga;12,32501;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,06487;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,05690;0,00000;0,00805
0,05000;0,01500;0,10826;0,00008;0,01532
0,10000;0,04516;0,02840;0,00024;0,00402
0,15000;0,07323;0,08509;0,00039;0,01204
0,20000;0,09943;0,13049;0,00052;0,01846
0,25000;0,12482;0,17183;0,00066;0,02431
0,30000;0,14995;0,18749;0,00079;0,02652
0,35000;0,17502;0,22162;0,00092;0,03135
0,40000;0,19998;0,25670;0,00105;0,03632
0,45000;0,22500;0,27580;0,00118;0,03902
0,50000;0,24996;0,31620;0,00132;0,04473
0,55000;0,27498;0,35472;0,00145;0,05018
0,60000;0,30000;0,38729;0,00158;0,05479
0,65000;0,32496;0,40482;0,00171;0,05727
0,70000;0,35004;0,47748;0,00184;0,06755
0,75000;0,37500;0,51099;0,00197;0,07229
0,80000;0,40007;0,51975;0,00211;0,07353
0,85000;0,42504;0,58270;0,00224;0,08244
0,90000;0,45005;0,60901;0,00237;0,08616
0,95000;0,47507;0,65723;0,00250;0,09298
1,00000;0,50004;0,68479;0,00263;0,09688
1,05000;0,52511;0,69137;0,00276;0,09781
1,10000;0,55002;0,75463;0,00289;0,10676
1,15000;0,57504;0,77185;0,00303;0,10919
1,20000;0,60000;0,81099;0,00316;0,11473
1,25000;0,62502;0,83448;0,00329;0,11805
1,30000;0,64998;0,91997;0,00342;0,13015
1,35000;0,67505;0,96319;0,00355;0,13626
1,40000;0,70007;0,97165;0,00368;0,13746
1,45000;0,72504;1,02238;0,00382;0,14464
1,50000;0,75005;1,07875;0,00395;0,15261
1,55000;0,77502;1,12134;0,00408;0,15864
1,60000;0,80004;1,15672;0,00421;0,16364
1,65000;0,82500;1,17551;0,00434;0,16630
1,70000;0,85002;1,20808;0,00447;0,17091
1,75000;0,87504;1,24065;0,00461;0,17552
1,80000;0,90005;1,30923;0,00474;0,18522
1,85000;0,92507;1,37375;0,00487;0,19435
1,90000;0,94998;1,38314;0,00500;0,19567
1,95000;0,97505;1,47083;0,00513;0,20808
2,00000;1,00002;1,49275;0,00526;0,21118
2,05000;1,02504;1,51686;0,00539;0,21459
2,10000;1,05000;1,61018;0,00553;0,22779
2,15000;1,07502;1,61958;0,00566;0,22912
2,20000;1,10004;1,66029;0,00579;0,23488
2,25000;1,12500;1,71196;0,00592;0,24219
2,30000;1,15007;1,73983;0,00605;0,24614
2,35000;1,17503;1,78430;0,00618;0,25243
2,40000;1,20005;1,84975;0,00632;0,26169
2,45000;1,22502;1,88389;0,00645;0,26652
2,50000;1,25003;1,94119;0,00658;0,27462
2,55000;1,27500;1,99099;0,00671;0,28167
2,60000;1,30002;2,03765;0,00684;0,28827
2,65000;1,32503;2,07116;0,00697;0,29301
2,70000;1,35000;2,12439;0,00711;0,30054
2,75000;1,37502;2,18045;0,00724;0,30847
2,80000;1,39998;2,23525;0,00737;0,31622
2,85000;1,42500;2,28849;0,00750;0,32376
2,90000;1,44996;2,36553;0,00763;0,33465
2,95000;1,47503;2,37711;0,00776;0,33629
3,00000;1,50000;2,42847;0,00789;0,34356
3,05000;1,52502;2,47607;0,00803;0,35029
3,10000;1,55003;2,51240;0,00816;0,35543
3,15000;1,57500;2,58443;0,00829;0,36562
3,20000;1,60007;2,65301;0,00842;0,37532
3,25000;1,62498;2,71157;0,00855;0,38361
3,30000;1,65005;2,77702;0,00868;0,39287
3,35000;1,67502;2,80709;0,00882;0,39712
3,40000;1,70003;2,85907;0,00895;0,40448
3,45000;1,72505;2,90698;0,00908;0,41125
3,50000;1,75002;2,94676;0,00921;0,41688
3,55000;1,77509;2,98841;0,00934;0,42277
3,60000;1,80005;3,07453;0,00947;0,43496
3,65000;1,82507;3,11618;0,00961;0,44085
3,70000;1,84998;3,17881;0,00974;0,44971
3,75000;1,87505;3,23894;0,00987;0,45822
3,80000;1,90002;3,28497;0,01000;0,46473
3,85000;1,92498;3,33601;0,01013;0,47195
3,90000;1,95000;3,40334;0,01026;0,48147
3,95000;1,97502;3,47161;0,01039;0,49113
4,00000;2,00003;3,50293;0,01053;0,49556
4,05000;2,02505;3,53957;0,01066;0,50075
4,10000;2,05007;3,60408;0,01079;0,50987
4,15000;2,07503;3,68801;0,01092;0,52175
4,20000;2,10005;3,73561;0,01105;0,52848
4,25000;2,12502;3,77319;0,01118;0,53380
4,30000;2,15003;3,86369;0,01132;0,54660
4,35000;2,17500;3,87841;0,01145;0,54868
4,40000;2,19996;3,95764;0,01158;0,55989
4,45000;2,22503;4,00649;0,01171;0,56680
4,50000;2,25000;4,08040;0,01184;0,57726
4,55000;2,27502;4,09324;0,01197;0,57907
4,60000;2,29998;4,18155;0,01211;0,59157
4,65000;2,32500;4,23635;0,01224;0,59932
4,70000;2,35002;4,26955;0,01237;0,60402
4,75000;2,37503;4,36037;0,01250;0,61687
4,80000;2,40005;4,41580;0,01263;0,62471
4,85000;2,42507;4,45682;0,01276;0,63051
4,90000;2,45009;4,51162;0,01290;0,63826
4,95000;2,47505;4,58803;0,01303;0,64907
5,00000;2,50007;4,61215;0,01316;0,65249
5,05000;2,52503;4,70422;0,01329;0,66551
5,10000;2,55000;4,76309;0,01342;0,67384
5,15000;2,57502;4,80130;0,01355;0,67924
5,20000;2,60003;4,84420;0,01368;0,68531
5,25000;2,62505;4,89587;0,01382;0,69262
5,30000;2,65002;4,97228;0,01395;0,70343
5,35000;2,67503;5,01362;0,01408;0,70928
5,40000;2,70005;5,06999;0,01421;0,71726
5,45000;2,72507;5,12291;0,01434;0,72474
5,50000;2,75003;5,20465;0,01447;0,73631
5,55000;2,77505;5,25350;0,01461;0,74322
5,60000;2,80002;5,29860;0,01474;0,74960
5,65000;2,82498;5,36969;0,01487;0,75966
5,70000;2,85005;5,41885;0,01500;0,76661
5,75000;2,87502;5,46551;0,01513;0,77321
5,80000;2,90003;5,52282;0,01526;0,78132
5,85000;2,92505;5,60957;0,01540;0,79359
5,90000;2,95002;5,63838;0,01553;0,79767
5,95000;2,97503;5,69475;0,01566;0,80564
6,00000;3,00000;5,75644;0,01579;0,81437
6,05000;3,02502;5,82596;0,01592;0,82420
6,10000;3,04998;5,88953;0,01605;0,83320
6,15000;3,07505;5,92335;0,01618;0,83798
6,20000;3,10002;6,00165;0,01632;0,84906
6,25000;3,12503;6,04267;0,01645;0,85486
6,30000;3,15000;6,11407;0,01658;0,86496
6,35000;3,17496;6,12096;0,01671;0,86594
6,40000;3,19998;6,19205;0,01684;0,87600
6,45000;3,22494;6,27817;0,01697;0,88818
6,50000;3,25007;6,32514;0,01711;0,89482
6,55000;3,27503;6,35614;0,01724;0,89921
6,60000;3,30011;6,45166;0,01737;0,91272
6,65000;3,32502;6,50709;0,01750;0,92056
6,70000;3,35003;6,55657;0,01763;0,92756
6,75000;3,37505;6,60730;0,01776;0,93474
6,80000;3,40002;6,66273;0,01789;0,94258
6,85000;3,42503;6,72473;0,01803;0,95136
6,90000;3,45000;6,79394;0,01816;0,96115
6,95000;3,47502;6,85094;0,01829;0,96921
7,00000;3,49998;6,91576;0,01842;0,97838
7,05000;3,52505;6,94677;0,01855;0,98277
7,10000;3,55002;7,00376;0,01868;0,99083
7,15000;3,57503;7,06264;0,01882;0,99916
7,20000;3,60005;7,11431;0,01895;1,00647
7,25000;3,62502;7,16974;0,01908;1,01431
7,30000;3,65003;7,22016;0,01921;1,02144
7,35000;3,67505;7,28874;0,01934;1,03115
7,40000;3,70012;7,35106;0,01947;1,03996
7,45000;3,72509;7,36672;0,01961;1,04218
7,50000;3,75005;7,46630;0,01974;1,05627
