Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-TE-30DIAS_CP1"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;23,27032;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;3,29208;MPa
Máximo Carga : ExtensãoemMáximo Carga;6,57498;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,03461;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,00619;0,00000;0,00088
0,05000;0,01468;0,10421;0,00008;0,01474
0,10000;0,04468;0,06131;0,00024;0,00867
0,15000;0,07296;0,06632;0,00038;0,00938
0,20000;0,09927;0,09889;0,00052;0,01399
0,25000;0,12471;0,09262;0,00066;0,01310
0,30000;0,14989;0,10139;0,00079;0,01434
0,35000;0,17491;0,16340;0,00092;0,02312
0,40000;0,19998;0,20536;0,00105;0,02905
0,45000;0,22495;0,21601;0,00118;0,03056
0,50000;0,24996;0,24576;0,00132;0,03477
0,55000;0,27493;0,25985;0,00145;0,03676
0,60000;0,29989;0,33470;0,00158;0,04735
0,65000;0,32491;0,32092;0,00171;0,04540
0,70000;0,34993;0,33188;0,00184;0,04695
0,75000;0,37500;0,35474;0,00197;0,05019
0,80000;0,39996;0,36413;0,00211;0,05151
0,85000;0,42504;0,42677;0,00224;0,06038
0,90000;0,45000;0,46153;0,00237;0,06529
0,95000;0,47496;0,50443;0,00250;0,07136
1,00000;0,49998;0,49629;0,00263;0,07021
1,05000;0,52495;0,49879;0,00276;0,07056
1,10000;0,54996;0,56330;0,00289;0,07969
1,15000;0,57493;0,59243;0,00303;0,08381
1,20000;0,59995;0,62688;0,00316;0,08868
1,25000;0,62491;0,63784;0,00329;0,09024
1,30000;0,64998;0,69076;0,00342;0,09772
1,35000;0,67500;0,70986;0,00355;0,10043
1,40000;0,69996;0,74055;0,00368;0,10477
1,45000;0,72498;0,80256;0,00382;0,11354
1,50000;0,74995;0,82949;0,00395;0,11735
1,55000;0,77496;0,83012;0,00408;0,11744
1,60000;0,79993;0,88680;0,00421;0,12546
1,65000;0,82500;0,92939;0,00434;0,13148
1,70000;0,84996;0,95131;0,00447;0,13458
1,75000;0,87498;0,99985;0,00461;0,14145
1,80000;0,89995;1,01113;0,00474;0,14304
1,85000;0,92496;1,05841;0,00487;0,14973
1,90000;0,94998;1,12198;0,00500;0,15873
1,95000;0,97495;1,13545;0,00513;0,16063
2,00000;0,99996;1,18931;0,00526;0,16825
2,05000;1,02493;1,19808;0,00539;0,16949
2,10000;1,04995;1,26698;0,00553;0,17924
2,15000;1,07496;1,31019;0,00566;0,18535
2,20000;1,09998;1,34652;0,00579;0,19049
2,25000;1,12500;1,38253;0,00592;0,19559
2,30000;1,14996;1,40602;0,00605;0,19891
2,35000;1,17498;1,48149;0,00618;0,20959
2,40000;1,19995;1,52909;0,00632;0,21632
2,45000;1,22502;1,54976;0,00645;0,21925
2,50000;1,24998;1,59768;0,00658;0,22603
2,55000;1,27500;1,63150;0,00671;0,23081
2,60000;1,29996;1,69350;0,00684;0,23958
2,65000;1,32493;1,73014;0,00697;0,24477
2,70000;1,34995;1,77806;0,00710;0,25154
2,75000;1,37491;1,83223;0,00724;0,25921
2,80000;1,39998;1,86950;0,00737;0,26448
2,85000;1,42495;1,90426;0,00750;0,26940
2,90000;1,44996;1,97003;0,00763;0,27870
2,95000;1,47493;2,01230;0,00776;0,28468
3,00000;1,50000;2,06898;0,00789;0,29270
3,05000;1,52502;2,11283;0,00803;0,29890
3,10000;1,54998;2,18485;0,00816;0,30909
3,15000;1,57500;2,23778;0,00829;0,31658
3,20000;1,59991;2,29978;0,00842;0,32535
3,25000;1,62493;2,31043;0,00855;0,32686
3,30000;1,64989;2,39060;0,00868;0,33820
