Entradas de Texto : Etiqueta do provete;"TRAÇÃO-NaOH-TABOA-T0-30DIAS_CP2"
Dimensão : Comprimento;190,00000;mm
Dimensão : Diâmetro;3,00000;mm
Teste : Taxa 1;30,00000;mm/min
Máximo Carga : Máximo Carga;92,41903;N
Máximo Carga : Esforço à tracçãoemMáximo Carga;13,07462;MPa
Máximo Carga : ExtensãoemMáximo Carga;6,62507;mm
Máximo Carga : Deformação à tracçãoemMáximo Carga;0,03487;mm/mm
Entradas de Texto : Comentário;""

Tempo;Extensão;Carga;Deformação à tracção;Esforço à tracção
(sec);(mm);(N);(mm/mm);(MPa)
0,00000;0,00000;0,02264;0,00000;0,00320
0,05000;0,01457;0,11909;0,00008;0,01685
0,10000;0,04468;0,08089;0,00024;0,01144
0,15000;0,07291;0,12880;0,00038;0,01822
0,20000;0,09921;0,18893;0,00052;0,02673
0,25000;0,12471;0,25500;0,00066;0,03608
0,30000;0,14989;0,28726;0,00079;0,04064
0,35000;0,17491;0,33674;0,00092;0,04764
0,40000;0,19993;0,40219;0,00105;0,05690
0,45000;0,22489;0,43382;0,00118;0,06137
0,50000;0,24996;0,48079;0,00132;0,06802
0,55000;0,27493;0,55032;0,00145;0,07785
0,60000;0,29995;0,57411;0,00158;0,08122
0,65000;0,32496;0,65679;0,00171;0,09292
0,70000;0,34998;0,68873;0,00184;0,09744
0,75000;0,37500;0,76796;0,00197;0,10864
0,80000;0,39996;0,82621;0,00211;0,11688
0,85000;0,42504;0,84563;0,00224;0,11963
0,90000;0,44995;0,92454;0,00237;0,13080
0,95000;0,47502;0,96588;0,00250;0,13664
1,00000;0,49998;0,99438;0,00263;0,14068
1,05000;0,52500;1,07455;0,00276;0,15202
1,10000;0,55002;1,11651;0,00289;0,15795
1,15000;0,57504;1,18165;0,00303;0,16717
1,20000;0,60005;1,25931;0,00316;0,17816
1,25000;0,62496;1,31443;0,00329;0,18595
1,30000;0,64998;1,35545;0,00342;0,19176
1,35000;0,67489;1,45097;0,00355;0,20527
1,40000;0,69996;1,50702;0,00368;0,21320
1,45000;0,72493;1,56809;0,00382;0,22184
1,50000;0,74995;1,64231;0,00395;0,23234
1,55000;0,77496;1,68740;0,00408;0,23872
1,60000;0,79998;1,78167;0,00421;0,25205
1,65000;0,82500;1,86778;0,00434;0,26424
1,70000;0,84996;1,94545;0,00447;0,27522
1,75000;0,87498;1,99430;0,00461;0,28214
1,80000;0,89995;2,03439;0,00474;0,28781
1,85000;0,92496;2,15683;0,00487;0,30513
1,90000;0,94993;2,20099;0,00500;0,31138
1,95000;0,97495;2,29494;0,00513;0,32467
2,00000;0,99996;2,36446;0,00526;0,33450
2,05000;1,02498;2,44150;0,00539;0,34540
2,10000;1,05000;2,53576;0,00553;0,35874
2,15000;1,07496;2,62470;0,00566;0,37132
2,20000;1,09998;2,70831;0,00579;0,38315
2,25000;1,12495;2,80821;0,00592;0,39728
2,30000;1,14996;2,88587;0,00605;0,40827
2,35000;1,17498;2,99642;0,00618;0,42391
2,40000;1,20000;3,07252;0,00632;0,43467
2,45000;1,22502;3,14830;0,00645;0,44539
2,50000;1,24998;3,26167;0,00658;0,46143
2,55000;1,27500;3,35499;0,00671;0,47463
2,60000;1,29996;3,43610;0,00684;0,48611
2,65000;1,32498;3,57076;0,00697;0,50516
2,70000;1,34995;3,66721;0,00710;0,51880
2,75000;1,37491;3,76272;0,00724;0,53232
2,80000;1,39998;3,87327;0,00737;0,54796
2,85000;1,42495;3,99979;0,00750;0,56585
2,90000;1,45002;4,08184;0,00763;0,57746
2,95000;1,47498;4,18800;0,00776;0,59248
3,00000;1,50000;4,30449;0,00789;0,60896
3,05000;1,52496;4,43884;0,00803;0,62797
3,10000;1,54998;4,54438;0,00816;0,64290
3,15000;1,57500;4,68091;0,00829;0,66221
3,20000;1,59996;4,79302;0,00842;0,67807
3,25000;1,62498;4,87727;0,00855;0,68999
3,30000;1,64995;4,99658;0,00868;0,70687
3,35000;1,67496;5,13249;0,00882;0,72610
3,40000;1,69998;5,23364;0,00895;0,74041
3,45000;1,72500;5,38427;0,00908;0,76172
3,50000;1,74996;5,50390;0,00921;0,77864
3,55000;1,77498;5,62447;0,00934;0,79570
3,60000;1,79995;5,78919;0,00947;0,81900
3,65000;1,82496;5,89848;0,00961;0,83446
3,70000;1,84998;6,06759;0,00974;0,85839
3,75000;1,87495;6,18597;0,00987;0,87514
3,80000;1,90002;6,34818;0,01000;0,89808
3,85000;1,92498;6,46249;0,01013;0,91426
3,90000;1,94995;6,61938;0,01026;0,93645
3,95000;1,97496;6,77471;0,01039;0,95843
4,00000;1,99998;6,92847;0,01053;0,98018
4,05000;2,02500;7,05687;0,01066;0,99834
4,10000;2,04996;7,24320;0,01079;1,02470
4,15000;2,07498;7,40354;0,01092;1,04739
4,20000;2,09995;7,54070;0,01105;1,06679
4,25000;2,12496;7,73204;0,01118;1,09386
4,30000;2,14998;7,89552;0,01132;1,11699
4,35000;2,17495;8,05523;0,01145;1,13958
4,40000;2,19996;8,26160;0,01158;1,16878
4,45000;2,22493;8,41098;0,01171;1,18991
4,50000;2,25000;8,59512;0,01184;1,21596
4,55000;2,27496;8,79961;0,01197;1,24489
4,60000;2,29998;8,95807;0,01211;1,26731
4,65000;2,32494;9,14409;0,01224;1,29362
4,70000;2,34991;9,35485;0,01237;1,32344
4,75000;2,37493;9,56091;0,01250;1,35259
4,80000;2,39994;9,74473;0,01263;1,37860
4,85000;2,42496;9,97835;0,01276;1,41165
4,90000;2,44993;10,15560;0,01289;1,43672
4,95000;2,47505;10,37168;0,01303;1,46729
5,00000;2,49996;10,58620;0,01316;1,49764
5,05000;2,52503;10,78944;0,01329;1,52639
5,10000;2,54994;11,00302;0,01342;1,55661
5,15000;2,57496;11,24446;0,01355;1,59077
5,20000;2,59993;11,47213;0,01368;1,62297
5,25000;2,62494;11,65627;0,01382;1,64902
5,30000;2,64991;11,92622;0,01395;1,68721
5,35000;2,67493;12,16328;0,01408;1,72075
5,40000;2,70000;12,40347;0,01421;1,75473
5,45000;2,72496;12,65338;0,01434;1,79009
5,50000;2,75003;12,88324;0,01447;1,82261
5,55000;2,77500;13,15005;0,01461;1,86035
5,60000;2,79996;13,43315;0,01474;1,90040
5,65000;2,82498;13,68744;0,01487;1,93638
5,70000;2,85000;13,93828;0,01500;1,97186
5,75000;2,87496;14,19507;0,01513;2,00819
5,80000;2,89998;14,50197;0,01526;2,05161
5,85000;2,92500;14,74592;0,01539;2,08612
5,90000;2,94996;15,05251;0,01553;2,12949
5,95000;2,97498;15,37130;0,01566;2,17459
6,00000;2,99994;15,67350;0,01579;2,21735
6,05000;3,02496;15,93092;0,01592;2,25376
6,10000;3,04998;16,24722;0,01605;2,29851
6,15000;3,07494;16,56977;0,01618;2,34414
6,20000;3,10002;16,87542;0,01632;2,38738
6,25000;3,12498;17,17731;0,01645;2,43009
6,30000;3,15000;17,50456;0,01658;2,47639
6,35000;3,17502;17,82962;0,01671;2,52238
6,40000;3,19998;18,12431;0,01684;2,56406
6,45000;3,22500;18,49039;0,01697;2,61586
6,50000;3,24991;18,80167;0,01710;2,65989
6,55000;3,27498;19,11296;0,01724;2,70393
6,60000;3,29994;19,45493;0,01737;2,75231
6,65000;3,32502;19,81256;0,01750;2,80290
6,70000;3,34998;20,15234;0,01763;2,85097
6,75000;3,37505;20,53878;0,01776;2,90564
6,80000;3,39996;20,86102;0,01789;2,95123
6,85000;3,42498;21,21020;0,01803;3,00063
6,90000;3,44994;21,60353;0,01816;3,05627
6,95000;3,47496;21,99749;0,01829;3,11201
7,00000;3,49998;22,34854;0,01842;3,16167
7,05000;3,52494;22,73060;0,01855;3,21572
7,10000;3,55002;23,14679;0,01868;3,27460
7,15000;3,57498;23,50505;0,01882;3,32528
7,20000;3,60000;23,93188;0,01895;3,38567
7,25000;3,62496;24,34870;0,01908;3,44464
7,30000;3,64998;24,74172;0,01921;3,50024
7,35000;3,67500;25,15729;0,01934;3,55903
7,40000;3,69996;25,58036;0,01947;3,61888
7,45000;3,72498;26,03257;0,01961;3,68286
7,50000;3,75000;26,48415;0,01974;3,74674
7,55000;3,77502;26,87623;0,01987;3,80221
7,60000;3,79998;27,30745;0,02000;3,86321
7,65000;3,82500;27,76749;0,02013;3,92830
7,70000;3,84996;28,23973;0,02026;3,99511
7,75000;3,87493;28,64778;0,02039;4,05283
7,80000;3,89994;29,09091;0,02053;4,11552
7,85000;3,92491;29,52651;0,02066;4,17715
7,90000;3,94998;29,99625;0,02079;4,24360
7,95000;3,97494;30,45754;0,02092;4,30886
8,00000;3,99996;30,93167;0,02105;4,37594
8,05000;4,02498;31,39984;0,02118;4,44217
8,10000;4,04994;31,87742;0,02132;4,50973
8,15000;4,07496;32,39131;0,02145;4,58243
8,20000;4,09998;32,85698;0,02158;4,64831
8,25000;4,12500;33,36650;0,02171;4,72039
8,30000;4,15002;33,87100;0,02184;4,79177
8,35000;4,17503;34,34732;0,02197;4,85915
8,40000;4,20000;34,91258;0,02211;4,93912
8,45000;4,22502;35,41990;0,02224;5,01089
8,50000;4,24993;35,96730;0,02237;5,08833
8,55000;4,27494;36,49310;0,02250;5,16272
8,60000;4,29996;37,02454;0,02263;5,23790
8,65000;4,32493;37,57727;0,02276;5,31610
8,70000;4,35000;38,14691;0,02289;5,39668
8,75000;4,37496;38,68586;0,02303;5,47293
8,80000;4,39998;39,24140;0,02316;5,55152
